"lat","lng","name","color","note"
47.370783,8.548606,KUNS,"",""
47.374207,8.525279,BEZI,"",""
47.391377,8.478527,FARB,"",""
47.373199,8.529125,STAU,"",""
47.369628,8.538333,PARA,"",""
47.368125,8.560242,ROEM,"",""
47.378388,8.510096,ALBP,"",""
47.377351,8.538997,BPLA,"",""
47.366969,8.544833,BELL,"",""
47.374659,8.520793,KALK,"",""
47.376804,8.543541,CENT,"",""
47.398558,8.453973,WAGO,"",""
47.397915,8.448265,SCHL,"",""
47.364783,8.554241,KREU,"",""
47.365294,8.54775,OPER,"",""
47.366163,8.547279,BSTA,"",""
47.368375,8.539844,KANB,"",""
47.385258,8.494672,KAPP,"",""
47.381336,8.50352,LETG,"",""
47.375541,8.517236,LOCH,"",""
47.376841,8.513689,ZYPR,"",""
47.373289,8.5215,DEP4,"",""
47.383281,8.499414,FREI,"",""
47.37584,8.537164,LOEW,"",""
47.376032,8.533937,SIHP,"",""
47.393133,8.474336,MICA,"",""
47.367783,8.53492,STOC,"",""
47.397803,8.45996,GASO,"",""
47.396117,8.466472,MULL,"",""
47.370937,8.531515,BSEL,"",""
47.387938,8.485811,LIND,"",""
47.366467,8.540956,BURK,"",""
47.36334,8.549566,KRES,"",""
47.357825,8.554345,HOES,"",""
47.372998,8.547287,NEUM,"",""
47.353376,8.558699,WILD,"",""
47.372431,8.534603,SIHS,"",""
47.355101,8.557004,FROE,"",""
47.360467,8.552075,FELD,"",""
47.387075,8.489728,GRIM,"",""
47.366504,8.557666,ENGV,"",""
47.350614,8.560933,BTIE,"",""
47.389226,8.482644,BACH,"",""
47.369289,8.555262,HOTT,"",""
47.398183,8.444296,SGEI,"",""
